Timestep,Lambda,Reward
0.0,0.09819209575653076,0.400904,0.400904
2.4312644004821777,0.7736101150512695,0.63680506,1.037709
4.1590635776519775,0.6983305215835571,0.5991653,1.6368743
5.689674139022827,0.7956297397613525,0.64781487,2.2846892
7.228915214538574,0.9082698822021484,0.70413494,2.9888241
8.765341520309448,0.8884148597717285,0.69420743,3.6830316
10.273499488830566,0.9610680341720581,0.73053396,4.4135656
11.745327711105347,0.39887693524360657,0.44943848,4.863004
13.241687774658203,0.43724289536476135,0.46862146,5.3316255
14.80157470703125,0.7576791048049927,0.6288396,5.960465
16.441173791885376,0.9169168472290039,0.7084584,6.6689234
17.95382261276245,0.8791449666023254,0.6895725,7.3584957
19.539314031600952,0.739687442779541,0.6198437,7.978339
21.091609001159668,0.6425597071647644,0.5712798,8.549619
22.693251609802246,0.9311448335647583,0.7155725,9.265191
24.2513427734375,0.8303061723709106,0.66515315,9.930345
25.807472944259644,0.9356107711791992,0.7178054,10.6481495
27.473658800125122,0.8325198888778687,0.5,11.1481495
29.325597286224365,0.5681955814361572,0.5,11.6481495
31.559340238571167,0.8760058879852295,0.31199706,11.960147
34.241788387298584,0.8987062573432922,0.30064687,12.260794
36.54143261909485,0.41410160064697266,0.4570508,12.717844
38.7158043384552,0.9455149173736572,0.72275746,13.440601
40.92811369895935,0.7819311618804932,0.6409656,14.081567
43.14867448806763,0.7529489398002625,0.62647444,14.708041
45.52147841453552,0.7580506205558777,0.6290253,15.337067
47.78853917121887,0.7623130083084106,0.63115656,15.968224
49.821592807769775,0.8527554273605347,0.67637765,16.644602
51.859846115112305,0.9390537738800049,0.7195269,17.364128
53.94881081581116,0.9511770009994507,0.72558844,18.089716
56.10156035423279,0.9463823437690735,0.7231912,18.812906
58.25736045837402,0.8991529941558838,0.6995765,19.512484
60.46932578086853,0.897055983543396,0.69852793,20.211012
62.641860008239746,0.779636025428772,0.6398181,20.85083
64.91508221626282,0.8929516077041626,0.69647586,21.547306
67.24570822715759,0.6795892715454102,0.58979464,22.1371
69.6255931854248,0.6129305362701416,0.55646527,22.693565
71.21582961082458,0.9828781485557556,-1.0171218,21.676443
72.65531969070435,0.9510359168052673,-1.048964,20.62748
74.28957748413086,0.864387035369873,0.6821935,21.309673
76.36545920372009,0.5388559103012085,0.51942796,21.829102
78.30565929412842,0.7820056080818176,0.64100283,22.470104
80.28922748565674,0.448529988527298,0.474265,22.944368
82.2915575504303,0.93539959192276,0.7176998,23.662067
84.359055519104,0.6728514432907104,0.58642566,24.248493
86.38987755775452,0.6676677465438843,0.5838338,24.832327
88.44128274917603,0.9331916570663452,0.71659577,25.548923
90.53706932067871,0.9524147510528564,0.7262074,26.275131
93.48162889480591,0.4515508711338043,0.47577545,26.750906
96.70148992538452,0.7699909210205078,0.63499546,27.385902
100.4017014503479,0.1710999310016632,0.5,27.885902
105.35556054115295,0.10935831069946289,0.5,28.385902
110.11138916015625,0.1355518400669098,0.26949745,28.6554
116.61171579360962,0.9650461673736572,0.7325231,29.387922
