Timestep,Lambda,Reward
0.0,0.03204214572906494,0.66795784,0.66795784
2.4312644004821777,0.07793110609054565,0.5,1.1679578
4.1590635776519775,0.03203508257865906,0.26601753,1.4339753
5.689674139022827,0.9466677904129028,-1.0533322,0.38064313
7.228915214538574,0.5065014362335205,-1.4934986,-1.1128554
8.765341520309448,0.980370044708252,-1.01963,-2.1324854
10.273499488830566,0.8791545629501343,-1.1208454,-3.2533307
11.745327711105347,0.8703317642211914,-1.1296682,-4.382999
13.241687774658203,0.6282427310943604,-1.3717573,-5.754756
14.80157470703125,0.9486925601959229,-1.0513074,-6.8060637
16.441173791885376,0.7949589490890503,-1.205041,-8.011105
17.95382261276245,0.6968787908554077,-1.3031212,-9.314226
19.539314031600952,0.7901033759117126,-1.2098966,-10.524122
21.091609001159668,0.9576042890548706,-1.0423957,-11.566518
22.693251609802246,0.9739930033683777,-1.0260069,-12.592525
24.2513427734375,0.9727170467376709,-1.027283,-13.619807
25.807472944259644,0.38655567169189453,-1.6134443,-15.233252
27.473658800125122,0.5928710699081421,0.54643553,-14.686816
29.325597286224365,0.8743665218353271,0.5,-14.186816
31.559340238571167,0.26010042428970337,0.5,-13.686816
34.241788387298584,0.979056715965271,0.26047164,-13.426345
36.54143261909485,0.26923668384552,0.5,-12.926345
38.7158043384552,0.4558395743370056,0.5,-12.426345
40.92811369895935,0.5309354662895203,0.5,-11.926345
43.14867448806763,0.6102369427680969,0.5,-11.426345
45.52147841453552,0.7061671018600464,0.5,-10.926345
47.78853917121887,0.7422705888748169,0.5,-10.426345
49.821592807769775,0.6174651384353638,0.5,-9.926345
51.859846115112305,0.3653316795825958,0.5,-9.426345
53.94881081581116,0.9027429223060608,0.5,-8.926345
56.10156035423279,0.4367830157279968,0.5,-8.426345
58.25736045837402,0.5798996090888977,0.5,-7.926345
60.46932578086853,0.13903915882110596,0.5,-7.426345
62.641860008239746,0.8010151982307434,0.5,-6.926345
64.91508221626282,0.3038552403450012,0.5,-6.426345
67.24570822715759,0.2577212452888489,2.8105857,-3.6157591
69.6255931854248,0.5377012491226196,2.8105857,-0.8051734
71.21582961082458,0.8801075220108032,1.1906934,0.38551998
72.65531969070435,0.8700954914093018,1.1806812,1.5662012
74.28957748413086,0.867114782333374,1.1777005,2.7439017
76.36545920372009,0.8950213193893433,1.2056069,3.9495087
78.30565929412842,0.9623116254806519,1.2728972,5.222406
80.28922748565674,0.8000144362449646,1.1106002,6.333006
82.2915575504303,0.5156618356704712,0.8262477,7.1592536
84.359055519104,0.8870730400085449,1.1976588,8.356913
86.38987755775452,0.9077262878417969,1.218312,9.575225
88.44128274917603,0.8446760177612305,1.1552618,10.730487
90.53706932067871,0.8057723045349121,1.116358,11.846845
93.48162889480591,0.0784159004688263,0.3890016,12.2358465
96.70148992538452,0.688071072101593,0.99865675,13.234503
100.4017014503479,0.21994435787200928,0.53053,13.765033
105.35556054115295,0.13375648856163025,0.44434214,14.209375
110.11138916015625,0.08234229683876038,2.6017568,16.811132
116.61171579360962,0.9813253879547119,3.0512486,19.862381
