Timestep,Lambda,Reward
0.0,0.7170776128768921,0.19999999,0.19999999
2.4312644004821777,0.09060162305831909,0.5,0.7
4.1590635776519775,0.9217079877853394,0.71085393,1.4108539
5.689674139022827,0.9301047921180725,0.7150524,2.1259062
7.228915214538574,0.8563436269760132,0.67817175,2.804078
8.765341520309448,0.8670139312744141,0.68350697,3.487585
10.273499488830566,0.9117952585220337,0.7058977,4.193483
11.745327711105347,0.7502211332321167,0.6251105,4.8185935
13.241687774658203,0.7981810569763184,0.6490905,5.467684
14.80157470703125,0.4864344596862793,0.49321723,5.9609013
16.441173791885376,0.14973008632659912,0.32486504,6.285766
17.95382261276245,0.8120548129081726,0.6560274,6.9417934
19.539314031600952,0.7147724628448486,0.60738623,7.5491796
21.091609001159668,0.25356847047805786,0.37678424,7.925964
22.693251609802246,0.8092760443687439,0.654638,8.580602
24.2513427734375,0.9448472261428833,0.7224237,9.303025
25.807472944259644,0.8507091999053955,0.6753546,9.97838
27.473658800125122,0.8229724168777466,0.66148627,10.639867
29.325597286224365,0.7878197431564331,0.6439098,11.283776
31.559340238571167,0.9035059213638306,0.701753,11.985529
34.241788387298584,0.9857295751571655,0.5,12.485529
36.54143261909485,0.26762640476226807,0.3838132,12.869342
38.7158043384552,0.40804755687713623,0.45402378,13.323365
40.92811369895935,0.7326698899269104,0.616335,13.9397
43.14867448806763,0.9423863887786865,0.7211932,14.660893
45.52147841453552,0.9814041256904602,3.051288,17.712181
47.78853917121887,0.7759521007537842,2.9485617,20.660744
49.821592807769775,0.6916618347167969,1.0022476,21.66299
51.859846115112305,0.08999335765838623,0.40057898,22.06357
53.94881081581116,0.982108473777771,1.2926941,23.356264
56.10156035423279,0.2834654450416565,0.5940511,23.950315
58.25736045837402,0.9063076376914978,1.2168934,25.16721
60.46932578086853,0.5627597570419312,0.8733454,26.040554
62.641860008239746,0.8476439118385315,1.1582296,27.198784
64.91508221626282,0.7560807466506958,1.0666666,28.26545
67.24570822715759,0.4528250992298126,0.7634108,29.02886
69.6255931854248,0.4491736888885498,0.7597594,29.78862
71.21582961082458,0.59175705909729,2.3997278,32.188347
72.65531969070435,0.9591317176818848,2.7671027,34.95545
74.28957748413086,0.9560118913650513,2.7639828,37.71943
76.36545920372009,0.6439895629882812,2.4519606,40.17139
78.30565929412842,0.8471407890319824,2.6551118,42.826504
80.28922748565674,0.5826764106750488,2.3906474,45.21715
82.2915575504303,0.9060137271881104,2.7139845,47.931137
84.359055519104,0.8809773921966553,2.6889486,50.620087
86.38987755775452,0.7180043458938599,2.5259752,53.14606
88.44128274917603,0.9467675685882568,2.7547388,55.9008
90.53706932067871,0.9831095337867737,2.7910805,58.69188
93.48162889480591,0.8662254810333252,2.6741962,61.366074
96.70148992538452,0.6338443756103516,2.4418154,63.807888
100.4017014503479,0.7192966938018799,2.5272675,66.33516
105.35556054115295,0.07870522141456604,2.604447,68.939606
110.11138916015625,0.8797957897186279,3.4055376,72.345146
116.61171579360962,0.4795791804790497,3.0053205,75.350464
