Timestep,Lambda,Reward
0.0,0.1402067244052887,0.3798967,0.3798967
2.4312644004821777,0.07729774713516235,0.28864887,0.6685456
4.1590635776519775,0.8310559988021851,0.66552794,1.3340735
5.689674139022827,0.5556290149688721,0.5278145,1.861888
7.228915214538574,0.5112134218215942,0.5056067,2.3674948
8.765341520309448,0.6483874320983887,0.5741937,2.9416885
10.273499488830566,0.9826692342758179,0.74133456,3.683023
11.745327711105347,0.4537021517753601,0.47685105,4.159874
13.241687774658203,0.49710729718208313,0.49855366,4.6584277
14.80157470703125,0.7037046551704407,0.60185236,5.26028
16.441173791885376,0.9337816834449768,0.7168909,5.977171
17.95382261276245,0.9231453537940979,0.7115727,6.6887436
19.539314031600952,0.8900402784347534,0.6950201,7.383764
21.091609001159668,0.7954915165901184,0.6477458,8.031509
22.693251609802246,0.882295548915863,0.69114774,8.722657
24.2513427734375,0.4667489230632782,0.48337445,9.206032
25.807472944259644,0.8631924390792847,0.68159616,9.887628
27.473658800125122,0.7909072637557983,0.6454536,10.533081
29.325597286224365,0.5305407643318176,0.5152704,11.048351
31.559340238571167,0.4736962616443634,0.5,11.548351
34.241788387298584,0.37691134214401245,0.56154436,12.109896
36.54143261909485,0.36356496810913086,0.43178248,12.541678
38.7158043384552,0.9192924499511719,0.7096462,13.251325
40.92811369895935,0.31006819009780884,0.33636004,13.587685
43.14867448806763,0.5098322629928589,0.50491613,14.092601
45.52147841453552,0.11181679368019104,0.3059084,14.398509
47.78853917121887,0.4762083888053894,0.48810416,14.886613
49.821592807769775,0.5181252360343933,-1.4818747,13.404738
51.859846115112305,0.20433425903320312,-1.7956657,11.609073
53.94881081581116,0.876682698726654,-1.1233172,10.485756
56.10156035423279,0.3743952512741089,-1.6256047,8.860151
58.25736045837402,0.9641467928886414,-1.0358531,7.824298
60.46932578086853,0.8612630367279053,-1.138737,6.685561
62.641860008239746,0.7843142151832581,-1.2156858,5.4698753
64.91508221626282,0.912772536277771,-1.0872275,4.382648
67.24570822715759,0.957707405090332,-1.0422926,3.3403554
69.6255931854248,0.8610918521881104,-1.1389081,2.2014472
71.21582961082458,0.612095296382904,-1.3879046,0.8135426
72.65531969070435,0.9356340169906616,-1.064366,-0.25082338
74.28957748413086,0.9034114480018616,-1.0965886,-1.347412
76.36545920372009,0.21385708451271057,-1.786143,-3.133555
78.30565929412842,0.10625788569450378,-1.8937421,-5.027297
80.28922748565674,0.5628130435943604,-1.437187,-6.464484
82.2915575504303,0.9028379917144775,-1.097162,-7.5616465
84.359055519104,0.918733537197113,-1.0812664,-8.642913
86.38987755775452,0.7288098335266113,-1.2711902,-9.914103
88.44128274917603,0.3860381841659546,-1.6139618,-11.528065
90.53706932067871,0.8439960479736328,-1.156004,-12.684069
93.48162889480591,0.5385535955429077,0.5192768,-12.164792
96.70148992538452,0.796254575252533,0.64812726,-11.5166645
100.4017014503479,0.8525572419166565,0.47433028,-11.042335
105.35556054115295,0.7746275663375854,0.5,-10.542335
110.11138916015625,0.27132126688957214,0.5,-10.042335
116.61171579360962,0.32116013765335083,0.5,-9.542335
