Timestep,Lambda,Reward
3.843579053878784,0.4540429711341858,0.47702152,31.09871
3.8884294033050537,0.6473124027252197,0.5736562,31.672365
3.934138298034668,0.9790672063827515,0.73953354,32.4119
3.9775302410125732,0.9188715219497681,0.7094358,33.121334
4.024183988571167,0.6164944171905518,0.5582472,33.67958
4.067486524581909,0.712219774723053,0.6061099,34.28569
4.1122727394104,0.2130047082901001,0.35650235,34.642193
4.163681268692017,0.9150084257125854,0.70750415,35.349697
4.294133424758911,0.43319860100746155,0.46659932,35.816296
4.337539911270142,0.4663265347480774,0.4831633,36.299458
4.3823442459106445,0.8110707998275757,0.65553534,36.954994
4.41991662979126,0.4546281695365906,0.47731405,37.43231
4.475597143173218,0.5099672675132751,0.5049836,37.93729
4.5211710929870605,0.6243062615394592,0.56215316,38.499443
4.56147313117981,0.6028223037719727,0.55141115,39.050854
4.611640453338623,0.29621273279190063,0.39810637,39.44896
4.6571946144104,0.9433213472366333,0.72166073,40.17062
4.694655179977417,0.24022507667541504,0.37011254,40.540733
4.836319208145142,0.49983757734298706,0.49991876,41.040653
4.882175445556641,0.6257821321487427,0.56289107,41.603546
4.9154016971588135,0.6194207668304443,0.5597104,42.163258
4.961329460144043,0.8259362578392029,0.6629681,42.826225
5.008068561553955,0.39631253480911255,0.4481563,43.27438
5.051148176193237,0.9788438081741333,0.73942196,44.0138
5.09046745300293,0.668402910232544,0.58420146,44.598003
5.1372387409210205,0.7110076546669006,0.60550386,45.203506
5.182907581329346,0.5226013660430908,0.5113007,45.714806
5.226765871047974,0.895717203617096,0.69785863,46.412663
5.354693651199341,0.9615296125411987,0.73076475,47.14343
5.396635293960571,0.3380289673805237,0.4190145,47.562443
5.442809581756592,0.8555719256401062,0.67778593,48.24023
5.477814197540283,0.9031620025634766,0.701581,48.94181
5.536066055297852,0.5579105019569397,0.5289553,49.470764
5.5821661949157715,0.14101985096931458,0.32050994,49.791275
5.6434712409973145,0.6632751226425171,0.58163756,50.372913
5.687314987182617,0.7694008350372314,0.6347004,51.007614
5.727878570556641,0.7966920137405396,0.64834607,51.65596
5.786134719848633,0.9777935743331909,0.7388967,52.394855
5.921392202377319,0.7826645970344543,0.6413323,53.036186
5.965730428695679,0.33939164876937866,0.4196958,53.455883
6.009047746658325,0.9117598533630371,0.7058799,54.161762
6.053613185882568,0.8349729776382446,0.66748655,54.82925
6.097486734390259,0.40388014912605286,0.4519401,55.28119
6.141737461090088,0.8415789008140564,0.6707894,55.951977
6.1882874965667725,0.573094367980957,0.5365472,56.488525
6.230672121047974,0.7881968021392822,0.6440984,57.132626
6.274643182754517,0.6421075463294983,0.5710538,57.70368
6.320636987686157,0.2505374550819397,0.37526873,58.078945
6.45050835609436,0.9294488430023193,0.7147244,58.79367
6.496084451675415,0.17128416895866394,0.33564207,59.129314
6.540077209472656,0.28925734758377075,0.39462867,59.523945
6.585916519165039,0.9755847454071045,0.7377924,60.261738
6.629111289978027,0.6118375062942505,0.55591875,60.817657
6.670399188995361,0.2678182125091553,0.3839091,61.201565
6.7150819301605225,0.8469077944755554,0.67345387,61.87502
6.760666608810425,0.85225510597229,0.67612755,62.551147
6.810892581939697,0.9431856870651245,0.7215928,63.27274
6.8528993129730225,0.1500455141067505,0.32502276,63.597763
6.985852241516113,0.816689133644104,0.6583446,64.25611
7.027508735656738,0.9342280030250549,0.71711403,64.97323
7.078292369842529,0.8485007286071777,0.67425036,65.64748
7.124388694763184,0.9206461310386658,0.71032304,66.357796
7.172166347503662,0.4583050608634949,0.4791525,66.836945
7.234221935272217,0.8857623338699341,0.6928812,67.52982
7.27855110168457,0.844804048538208,0.672402,68.202225
7.319847583770752,0.7436915040016174,0.6218458,68.82407
7.367929935455322,0.9160606265068054,0.7080303,69.532104
7.413365840911865,0.14611324667930603,0.3230566,69.85516
7.545212984085083,0.6823097467422485,0.59115493,70.44632
7.591881036758423,0.3598065972328186,0.42990333,70.87622
7.635270833969116,0.3170342445373535,0.40851712,71.28474
7.68475079536438,0.7736145257949829,0.6368073,71.92155
7.728493690490723,0.8855504989624023,0.69277525,72.61432
7.773172855377197,0.8047478199005127,0.6523739,73.26669
7.818914890289307,0.9269750714302063,0.71348757,73.98018
7.862153053283691,0.7179320454597473,0.60896605,74.58914
7.907227993011475,0.4944569766521454,0.49722847,75.08637
7.959051847457886,0.7127152681350708,0.6063577,75.69273
8.082443714141846,0.8685372471809387,0.68426865,76.377
8.118911504745483,0.8192034959793091,0.6596018,77.0366
8.175268650054932,0.3041563928127289,0.40207818,77.438675
8.222017288208008,0.8711323738098145,0.6855662,78.124245
8.266828298568726,0.8460706472396851,0.67303526,78.79728
8.31485915184021,0.6171808838844299,0.5585905,79.35587
8.352087259292603,0.9192550182342529,0.7096275,80.0655
8.403060913085938,0.12031784653663635,0.31015894,80.375656
8.446332216262817,0.735526978969574,0.61776346,80.993416
8.490391492843628,0.8486500382423401,0.67432505,81.66774
8.61054253578186,0.6909054517745972,0.59545267,82.26319
8.653871774673462,0.42159509658813477,0.46079755,82.72399
8.699077606201172,0.6226030588150024,0.5613015,83.28529
8.74367094039917,0.6303204298019409,0.5651602,83.85046
8.785480499267578,0.8894119262695312,0.69470596,84.545166
8.82297420501709,0.4955756664276123,0.49778783,85.04295
8.866772890090942,0.7596075534820557,0.6298038,85.67276
8.907648086547852,0.10484245419502258,0.30242124,85.97518
